Observation Number,Measurement Date (UTC),Measurement Time (UTC),Observation Latitude,Observation Longitude,North Image URL,North Clearsky,North Cirrus/Cirrostratus,North Cirrocumulus/Altocumulus,North Altostratus/Stratus,North Stratocumulus,North Cumulus,North Cumulonimbus,North Contrails,North Smoke/Haze,North Dust,North Agreement,North Classification Count,North Retirement,East Image URL,East Clearsky,East Cirrus/Cirrostratus,East Cirrocumulus/Altocumulus,East Altostratus/Stratus,East Stratocumulus,East Cumulus,East Cumulonimbus,East Contrails,East Smoke/Haze,East Dust,East Agreement,East Classification Count,East Retirement,South Image URL,South Clearsky,South Cirrus/Cirrostratus,South Cirrocumulus/Altocumulus,South Altostratus/Stratus,South Stratocumulus,South Cumulus,South Cumulonimbus,South Contrails,South Smoke/Haze,South Dust,South Agreement,South Classification Count,South Retirement,West Image URL,West Clearsky,West Cirrus/Cirrostratus,West Cirrocumulus/Altocumulus,West Altostratus/Stratus,West Stratocumulus,West Cumulus,West Cumulonimbus,West Contrails,West Smoke/Haze,West Dust,West Agreement,West Classification Count,West Retirement,Up Image URL,Up Clearsky,Up Cirrus/Cirrostratus,Up Cirrocumulus/Altocumulus,Up Altostratus/Stratus,Up Stratocumulus,Up Cumulus,Up Cumulonimbus,Up Contrails,Up Smoke/Haze,Up Dust,Up Agreement,Up Classification Count,Up Retirement
116-106827-80972583-202201170437,2022-01-17,04:37:00,24.105500,120.636100,https://data.globe.gov/system/photos/2022/01/17/2589303/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589305/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589304/original.jpg,0,0,0,0,0,0,1,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589306/original.jpg,0,0,0,0,1,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589307/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus
116-106827-80972583-202201170444,2022-01-17,04:44:00,24.105600,120.636000,https://data.globe.gov/system/photos/2022/01/17/2589309/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589311/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589310/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589312/original.jpg,0,0,0,1,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589313/original.jpg,0,0,0,0,1,0,0,0,0,0,0.4,8,classification_count
116-106827-80972583-202201170913,2022-01-17,09:13:00,24.105700,120.636100,https://data.globe.gov/system/photos/2022/01/17/2589638/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589640/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,9,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589639/original.jpg,0,0,0,0,0,0,1,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589641/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589642/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count
116-106984-38205028-202201151521,2022-01-15,15:21:00,29.832600,-82.606600,https://data.globe.gov/system/photos/2022/01/15/2584220/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584222/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584221/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584223/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584224/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-106984-38205028-202201161540,2022-01-16,15:40:00,29.832500,-82.606600,https://data.globe.gov/system/photos/2022/01/16/2587587/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587590/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2587589/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/16/2587591/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2587592/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus
116-106984-38205028-202201171529,2022-01-17,15:29:00,29.832500,-82.606600,https://data.globe.gov/system/photos/2022/01/17/2590659/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590661/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590660/original.jpg,1,0,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590662/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590663/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-114339-41182951-202201171933,2022-01-17,19:33:00,41.713400,-111.821100,https://data.globe.gov/system/photos/2022/01/17/2591541/original.jpg,0,0,1,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591543/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591542/original.jpg,0,0,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591544/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591545/original.jpg,0,0,0,0,0,0,0,0,0,0,0.6,8,classification_count
116-115921-41194185-202201151841,2022-01-15,18:41:00,42.431000,-83.381600,https://data.globe.gov/system/photos/2022/01/15/2584840/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584842/original.jpg,1,0,0,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584841/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584843/original.jpg,1,0,0,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584844/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-115921-41194185-202201161556,2022-01-16,15:56:00,42.431000,-83.381600,https://data.globe.gov/system/photos/2022/01/16/2587668/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587674/original.jpg,1,0,0,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2587671/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587676/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587677/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-115921-41194185-202201161926,2022-01-16,19:26:00,42.431100,-83.381600,https://data.globe.gov/system/photos/2022/01/16/2588352/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588354/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588353/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588355/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588356/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-115921-41194185-202201171639,2022-01-17,16:39:00,42.431000,-83.381600,https://data.globe.gov/system/photos/2022/01/17/2590888/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590890/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590889/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590891/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590892/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-115921-41194185-202201171841,2022-01-17,18:41:00,42.431000,-83.381600,https://data.globe.gov/system/photos/2022/01/17/2591370/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591372/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591371/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591377/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591380/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count
116-115921-41194185-202201181911,2022-01-18,19:11:00,42.430900,-83.382200,https://data.globe.gov/system/photos/2022/01/18/2594539/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594545/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594542/original.jpg,0,0,0,0,0,1,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594546/original.jpg,0,0,0,1,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594547/original.jpg,0,0,0,0,1,0,0,0,0,0,0.5,8,classification_count
116-118674-42695752-202201150150,2022-01-15,01:50:00,-41.155600,175.012700,https://data.globe.gov/system/photos/2022/01/15/2582863/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2582865/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2582864/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2582866/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2582867/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus
116-118674-42695752-202201180218,2022-01-18,02:18:00,-41.155600,175.012500,https://data.globe.gov/system/photos/2022/01/18/2592062/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2592064/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2592063/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2592065/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2592066/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-119112-39805219-202201171949,2022-01-17,19:49:00,34.192800,-118.312500,https://data.globe.gov/system/photos/2022/01/17/2591569/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591571/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591570/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591573/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591574/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus
116-119112-39805219-202201181857,2022-01-18,18:57:00,34.192700,-118.312500,https://data.globe.gov/system/photos/2022/01/18/2594448/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594451/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,6,consensus,https://data.globe.gov/system/photos/2022/01/18/2594449/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594452/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594453/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count
116-120836-41194185-202201151648,2022-01-15,16:48:00,42.431100,-83.381500,https://data.globe.gov/system/photos/2022/01/15/2584454/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584456/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584455/original.jpg,0,0,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584457/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584458/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus
116-120836-41194185-202201181544,2022-01-18,15:44:00,42.431000,-83.381500,https://data.globe.gov/system/photos/2022/01/18/2593701/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2593703/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2593702/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2593704/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2593705/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201150027,2022-01-15,00:27:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/15/2582840/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2582842/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2582841/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2582843/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2582844/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201152210,2022-01-15,22:10:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/15/2585347/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585349/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585348/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585350/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585351/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201160019,2022-01-16,00:19:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/16/2585529/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2585531/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,6,consensus,https://data.globe.gov/system/photos/2022/01/16/2585530/original.jpg,1,0,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2585532/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2585533/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201160230,2022-01-16,02:30:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/16/2585774/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2585776/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2585775/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2585777/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2585778/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201162254,2022-01-16,22:54:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/16/2588791/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588793/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588792/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588794/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588795/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201170030,2022-01-17,00:30:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/17/2588903/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2588905/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2588904/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2588906/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2588907/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-122117-42695752-202201172205,2022-01-17,22:05:00,-41.155200,175.012500,https://data.globe.gov/system/photos/2022/01/17/2591849/original.jpg,0,1,0,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591852/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591851/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591853/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591854/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
